Label,Qubits,Iteration,Mitigation,Abs_Error,Exp_Value,Ideal_Value,Circuit Depth,Count 1q gates,Count 2q gates,ZNE_Heuristic,Cnt 2q per qubit,Job_ID
5: No_ZNE,5,1,No_ZNE,0.21044921875,-0.78955078125,-1.0,40,101,8,0.0712454614771354,1.6,d4rba8nt3pms739822lg
5: No_ZNE,5,2,No_ZNE,0.20703125,-0.79296875,-1.0,40,101,8,0.0712454614771354,1.6,d4rba93her1c73bc3u2g
5: No_ZNE,5,3,No_ZNE,0.203125,-0.796875,-1.0,40,101,8,0.0712454614771354,1.6,d4rba9jher1c73bc3u3g
5: With_ZNE_GT,5,1,With_ZNE_GT,0.1831957555575678,-0.8168042444424322,-1.0,40,101,8,0.0712454614771354,1.6,d4rba8sfitbs739hq1gg
5: With_ZNE_GT,5,2,With_ZNE_GT,0.1785959656489092,-0.8214040343510908,-1.0,40,101,8,0.0712454614771354,1.6,d4rba9ft3pms739822n0
5: With_ZNE_GT,5,3,With_ZNE_GT,0.1658155517125069,-0.834184448287493,-1.0,40,101,8,0.0712454614771354,1.6,d4rba9rher1c73bc3u40
10: No_ZNE,10,1,No_ZNE,0.42626953125,0.57373046875,1.0,75,211,18,0.22055771207243147,1.8,d4rbkjk5fjns73d1877g
10: No_ZNE,10,2,No_ZNE,0.4462890625,0.5537109375,1.0,75,211,18,0.22055771207243147,1.8,d4rbkkft3pms73982cg0
10: No_ZNE,10,3,No_ZNE,0.4072265625,0.5927734375,1.0,75,211,18,0.22055771207243147,1.8,d4rbkks5fjns73d187ag
10: With_ZNE_GT,10,1,With_ZNE_GT,0.38425292840744585,0.6157470715925542,1.0,75,211,18,0.22055771207243147,1.8,d4rbkjvt3pms73982cfg
10: With_ZNE_GT,10,2,With_ZNE_GT,0.3746578520043443,0.6253421479956557,1.0,75,211,18,0.22055771207243147,1.8,d4rbkkkfitbs739hqb0g
10: With_ZNE_GT,10,3,With_ZNE_GT,0.38607959187587015,0.6139204081241298,1.0,75,211,18,0.22055771207243147,1.8,d4rbkl45fjns73d187b0
