Label,Qubits,Iteration,Mitigation,Abs_Error,Exp_Value,Ideal_Value,Circuit Depth,Count 1q gates,Count 2q gates,ZNE_Heuristic,Job_ID
3q (No_ZNE),3,1,No_ZNE,0.09756986702721998,0.3046875,0.40225736702722,57,81,12,0.08686936019304298,d4vsgrsgk3fc73avbjag
3q (No_ZNE),3,2,No_ZNE,0.10001127327721998,0.30224609375,0.40225736702722,57,81,12,0.08686936019304298,d4vsgskgk3fc73avbjc0
3q (No_ZNE),3,3,No_ZNE,0.12003080452721998,0.2822265625,0.40225736702722,57,81,12,0.08686936019304298,d4vsgt7g0u6s73db5a60
3q (With_ZNE_GT),3,1,With_ZNE_GT,0.04560462689200373,0.35665274013521625,0.40225736702722,57,81,12,0.08686936019304298,d4vsgsfg0u6s73db5a50
3q (With_ZNE_GT),3,2,With_ZNE_GT,0.04109626155849916,0.3611611054687208,0.40225736702722,57,81,12,0.08686936019304298,d4vsgssgk3fc73avbjcg
3q (With_ZNE_GT),3,3,With_ZNE_GT,0.041028875259053965,0.361228491768166,0.40225736702722,57,81,12,0.08686936019304298,d4vsgteaec6c738sodbg
5q (No_ZNE),5,1,No_ZNE,0.028773385044387284,0.2177734375,0.24654682254438728,133,244,39,0.2513350494904837,d4vsgrsgk3fc73avbjag
5q (No_ZNE),5,2,No_ZNE,0.027796822544387284,0.21875,0.24654682254438728,133,244,39,0.2513350494904837,d4vsgskgk3fc73avbjc0
5q (No_ZNE),5,3,No_ZNE,0.023402291294387284,0.22314453125,0.24654682254438728,133,244,39,0.2513350494904837,d4vsgt7g0u6s73db5a60
5q (With_ZNE_GT),5,1,With_ZNE_GT,0.0028458530436015483,0.24370096950078574,0.24654682254438728,133,244,39,0.2513350494904837,d4vsgsfg0u6s73db5a50
5q (With_ZNE_GT),5,2,With_ZNE_GT,0.013615832204727563,0.23293099033965972,0.24654682254438728,133,244,39,0.2513350494904837,d4vsgssgk3fc73avbjcg
5q (With_ZNE_GT),5,3,With_ZNE_GT,0.00619866819265974,0.24034815435172754,0.24654682254438728,133,244,39,0.2513350494904837,d4vsgteaec6c738sodbg
7q (No_ZNE),7,1,No_ZNE,0.09514881891930096,0.12744140625,0.22259022516930096,147,321,51,0.42510689694450327,d4vsgrsgk3fc73avbjag
7q (No_ZNE),7,2,No_ZNE,0.09466053766930096,0.1279296875,0.22259022516930096,147,321,51,0.42510689694450327,d4vsgskgk3fc73avbjc0
7q (No_ZNE),7,3,No_ZNE,0.08635975641930096,0.13623046875,0.22259022516930096,147,321,51,0.42510689694450327,d4vsgt7g0u6s73db5a60
7q (With_ZNE_GT),7,1,With_ZNE_GT,0.03563112871594143,0.18695909645335954,0.22259022516930096,147,321,51,0.42510689694450327,d4vsgsfg0u6s73db5a50
7q (With_ZNE_GT),7,2,With_ZNE_GT,0.030223222456581572,0.1923670027127194,0.22259022516930096,147,321,51,0.42510689694450327,d4vsgssgk3fc73avbjcg
7q (With_ZNE_GT),7,3,With_ZNE_GT,0.03638676237831959,0.25897698754762055,0.22259022516930096,147,321,51,0.42510689694450327,d4vsgteaec6c738sodbg
9q (No_ZNE),9,1,No_ZNE,0.04789090712488826,-0.03955078125,-0.08744168837488826,347,907,168,1.2889564105815274,d4vsgrsgk3fc73avbjag
9q (No_ZNE),9,2,No_ZNE,0.03226590712488826,-0.05517578125,-0.08744168837488826,347,907,168,1.2889564105815274,d4vsgskgk3fc73avbjc0
9q (No_ZNE),9,3,No_ZNE,0.06058621962488826,-0.02685546875,-0.08744168837488826,347,907,168,1.2889564105815274,d4vsgt7g0u6s73db5a60
9q (With_ZNE_GT),9,1,With_ZNE_GT,0.09191653992319627,0.004474851548308018,-0.08744168837488826,347,907,168,1.2889564105815274,d4vsgsfg0u6s73db5a50
9q (With_ZNE_GT),9,2,With_ZNE_GT,0.05505221161895343,-0.032389476755934836,-0.08744168837488826,347,907,168,1.2889564105815274,d4vsgssgk3fc73avbjcg
9q (With_ZNE_GT),9,3,With_ZNE_GT,0.06538979313083157,-0.022051895244056697,-0.08744168837488826,347,907,168,1.2889564105815274,d4vsgteaec6c738sodbg
10q (No_ZNE),10,1,No_ZNE,0.049124116805767906,0.01318359375,0.062307710555767906,659,1437,288,2.5228282619362608,d4vsgrsgk3fc73avbjag
10q (No_ZNE),10,2,No_ZNE,0.050588960555767906,0.01171875,0.062307710555767906,659,1437,288,2.5228282619362608,d4vsgskgk3fc73avbjc0
10q (No_ZNE),10,3,No_ZNE,0.0876983355557679,-0.025390625,0.062307710555767906,659,1437,288,2.5228282619362608,d4vsgt7g0u6s73db5a60
10q (With_ZNE_GT),10,1,With_ZNE_GT,0.05175473011585926,0.010552980439908648,0.062307710555767906,659,1437,288,2.5228282619362608,d4vsgsfg0u6s73db5a50
10q (With_ZNE_GT),10,2,With_ZNE_GT,0.0738074737283507,-0.011499763172582798,0.062307710555767906,659,1437,288,2.5228282619362608,d4vsgssgk3fc73avbjcg
10q (With_ZNE_GT),10,3,With_ZNE_GT,0.06798824766816776,-0.005680537112399853,0.062307710555767906,659,1437,288,2.5228282619362608,d4vsgteaec6c738sodbg
