Label,Qubits,Iteration,Mitigation,Abs_Error,Exp_Value,Ideal_Value,Circuit Depth,Count 1q gates,Count 2q gates,ZNE_Heuristic,Cnt 2q per qubit,Job_ID
5q (No_ZNE),5,1,No_ZNE,0.25,-0.75,-1,30,42,8,0.049958379,1.6,d4oqgajher1c73b9gdug
5q (No_ZNE),5,2,No_ZNE,0.257324219,-0.742675781,-1,30,42,8,0.049958379,1.6,d4oqgbbher1c73b9ge00
5q (No_ZNE),5,3,No_ZNE,0.252929688,-0.747070313,-1,30,42,8,0.049958379,1.6,d4oqgbvt3pms7395gbi0
5q (With_ZNE_GT),5,1,With_ZNE_GT,0.220774105,-0.779225895,-1,30,42,8,0.049958379,1.6,d4oqgb45fjns73cukqkg
5q (With_ZNE_GT),5,2,With_ZNE_GT,0.260393477,-0.739606523,-1,30,42,8,0.049958379,1.6,d4oqgbk5fjns73cukqlg
5q (With_ZNE_GT),5,3,With_ZNE_GT,0.192224794,-0.807775206,-1,30,42,8,0.049958379,1.6,d4oqgc4fitbs739f955g
11q (No_ZNE),11,1,No_ZNE,0.585449219,-0.414550781,-1,66,96,20,0.240899108,1.818,d4oqgajher1c73b9gdug
11q (No_ZNE),11,2,No_ZNE,0.580078125,-0.419921875,-1,66,96,20,0.240899108,1.818,d4oqgbbher1c73b9ge00
11q (No_ZNE),11,3,No_ZNE,0.572753906,-0.427246094,-1,66,96,20,0.240899108,1.818,d4oqgbvt3pms7395gbi0
11q (With_ZNE_GT),11,1,With_ZNE_GT,0.371134414,-0.628865586,-1,66,96,20,0.240899108,1.818,d4oqgb45fjns73cukqkg
11q (With_ZNE_GT),11,2,With_ZNE_GT,0.235374655,-0.764625345,-1,66,96,20,0.240899108,1.818,d4oqgbk5fjns73cukqlg
11q (With_ZNE_GT),11,3,With_ZNE_GT,0.293042703,-0.706957297,-1,66,96,20,0.240899108,1.818,d4oqgc4fitbs739f955g
12q (No_ZNE),12,1,No_ZNE,0.620605469,0.379394531,1,72,105,22,0.252247628,1.833,d4oqgajher1c73b9gdug
12q (No_ZNE),12,2,No_ZNE,0.612304688,0.387695313,1,72,105,22,0.252247628,1.833,d4oqgbbher1c73b9ge00
12q (No_ZNE),12,3,No_ZNE,0.633300781,0.366699219,1,72,105,22,0.252247628,1.833,d4oqgbvt3pms7395gbi0
12q (With_ZNE_GT),12,1,With_ZNE_GT,0.311953326,0.688046674,1,72,105,22,0.252247628,1.833,d4oqgb45fjns73cukqkg
12q (With_ZNE_GT),12,2,With_ZNE_GT,0.253270677,0.746729323,1,72,105,22,0.252247628,1.833,d4oqgbk5fjns73cukqlg
12q (With_ZNE_GT),12,3,With_ZNE_GT,0.285866554,0.714133446,1,72,105,22,0.252247628,1.833,d4oqgc4fitbs739f955g
20q (No_ZNE),20,1,No_ZNE,1.009765625,-0.009765625,1,120,177,38,0.712541143,1.9,d4oqgajher1c73b9gdug
20q (No_ZNE),20,2,No_ZNE,0.994140625,0.005859375,1,120,177,38,0.712541143,1.9,d4oqgbbher1c73b9ge00
20q (No_ZNE),20,3,No_ZNE,0.978027344,0.021972656,1,120,177,38,0.712541143,1.9,d4oqgbvt3pms7395gbi0
20q (With_ZNE_GT),20,1,With_ZNE_GT,292.6216678,293.6216678,1,120,177,38,0.712541143,1.9,d4oqgb45fjns73cukqkg
20q (With_ZNE_GT),20,2,With_ZNE_GT,172.7943883,173.7943883,1,120,177,38,0.712541143,1.9,d4oqgbk5fjns73cukqlg
20q (With_ZNE_GT),20,3,With_ZNE_GT,144.3900011,145.3900011,1,120,177,38,0.712541143,1.9,d4oqgc4fitbs739f955g
29q (No_ZNE),29,1,No_ZNE,0.992675781,-0.007324219,-1,174,258,56,1.48543028,1.931,d4oqgajher1c73b9gdug
29q (No_ZNE),29,2,No_ZNE,0.9765625,-0.0234375,-1,174,258,56,1.48543028,1.931,d4oqgbbher1c73b9ge00
29q (No_ZNE),29,3,No_ZNE,0.986816406,-0.013183594,-1,174,258,56,1.48543028,1.931,d4oqgbvt3pms7395gbi0
29q (With_ZNE_GT),29,1,With_ZNE_GT,1.034312966,0.034312966,-1,174,258,56,1.48543028,1.931,d4oqgb45fjns73cukqkg
29q (With_ZNE_GT),29,2,With_ZNE_GT,50.60631935,49.60631935,-1,174,258,56,1.48543028,1.931,d4oqgbk5fjns73cukqlg
29q (With_ZNE_GT),29,3,With_ZNE_GT,1.007085564,0.007085564,-1,174,258,56,1.48543028,1.931,d4oqgc4fitbs739f955g
30q (No_ZNE),30,1,No_ZNE,0.970703125,0.029296875,1,180,267,58,1.639447095,1.933,d4oqgajher1c73b9gdug
30q (No_ZNE),30,2,No_ZNE,0.959960938,0.040039063,1,180,267,58,1.639447095,1.933,d4oqgbbher1c73b9ge00
