Label,Qubits,Iteration,Mitigation,Abs_Error,Exp_Value,Ideal_Value,Circuit Depth,Count 1q gates,Count 2q gates,ZNE_Heuristic,Cnt 2q per qubit,Job_ID
5q (No_ZNE),5,1,No_ZNE,0.21044921875,-0.78955078125,-1.0,40,101,8,0.07124546147713542,1.6,d4rba8nt3pms739822lg
5q (No_ZNE),5,2,No_ZNE,0.20703125,-0.79296875,-1.0,40,101,8,0.07124546147713542,1.6,d4rba93her1c73bc3u2g
5q (No_ZNE),5,3,No_ZNE,0.203125,-0.796875,-1.0,40,101,8,0.07124546147713542,1.6,d4rba9jher1c73bc3u3g
5q (With_ZNE_GT),5,1,With_ZNE_GT,0.18319575555756784,-0.8168042444424322,-1.0,40,101,8,0.07124546147713542,1.6,d4rba8sfitbs739hq1gg
5q (With_ZNE_GT),5,2,With_ZNE_GT,0.17859596564890923,-0.8214040343510908,-1.0,40,101,8,0.07124546147713542,1.6,d4rba9ft3pms739822n0
5q (With_ZNE_GT),5,3,With_ZNE_GT,0.16581555171250695,-0.834184448287493,-1.0,40,101,8,0.07124546147713542,1.6,d4rba9rher1c73bc3u40
11q (No_ZNE),11,1,No_ZNE,0.4580078125,-0.5419921875,-1.0,82,232,20,0.2799130461153495,1.818,d4rba8nt3pms739822lg
11q (No_ZNE),11,2,No_ZNE,0.47509765625,-0.52490234375,-1.0,82,232,20,0.2799130461153495,1.818,d4rba93her1c73bc3u2g
11q (No_ZNE),11,3,No_ZNE,0.48486328125,-0.51513671875,-1.0,82,232,20,0.2799130461153495,1.818,d4rba9jher1c73bc3u3g
11q (With_ZNE_GT),11,1,With_ZNE_GT,0.3797633730615586,-0.6202366269384414,-1.0,82,232,20,0.2799130461153495,1.818,d4rba8sfitbs739hq1gg
11q (With_ZNE_GT),11,2,With_ZNE_GT,0.3894447652702846,-0.6105552347297154,-1.0,82,232,20,0.2799130461153495,1.818,d4rba9ft3pms739822n0
11q (With_ZNE_GT),11,3,With_ZNE_GT,0.4049300268264804,-0.5950699731735196,-1.0,82,232,20,0.2799130461153495,1.818,d4rba9rher1c73bc3u40
20q (No_ZNE),20,1,No_ZNE,0.783203125,0.216796875,1.0,145,430,38,0.8317891014692635,1.9,d4rba8nt3pms739822lg
20q (No_ZNE),20,2,No_ZNE,0.7734375,0.2265625,1.0,145,430,38,0.8317891014692635,1.9,d4rba93her1c73bc3u2g
20q (No_ZNE),20,3,No_ZNE,0.77880859375,0.22119140625,1.0,145,430,38,0.8317891014692635,1.9,d4rba9jher1c73bc3u3g
20q (With_ZNE_GT),20,1,With_ZNE_GT,0.26444432311711374,0.7355556768828863,1.0,145,430,38,0.8317891014692635,1.9,d4rba8sfitbs739hq1gg
20q (With_ZNE_GT),20,2,With_ZNE_GT,0.611955537889989,0.3880444621100109,1.0,145,430,38,0.8317891014692635,1.9,d4rba9ft3pms739822n0
20q (With_ZNE_GT),20,3,With_ZNE_GT,0.3229818502435613,0.6770181497564387,1.0,145,430,38,0.8317891014692635,1.9,d4rba9rher1c73bc3u40
28q (No_ZNE),28,1,No_ZNE,0.97802734375,0.02197265625,1.0,201,606,54,1.471774431407647,1.929,d4rba8nt3pms739822lg
28q (No_ZNE),28,2,No_ZNE,0.96337890625,0.03662109375,1.0,201,606,54,1.471774431407647,1.929,d4rba93her1c73bc3u2g
28q (No_ZNE),28,3,No_ZNE,0.9833984375,0.0166015625,1.0,201,606,54,1.471774431407647,1.929,d4rba9jher1c73bc3u3g
28q (With_ZNE_GT),28,1,With_ZNE_GT,0.9118979636672433,0.08810203633275668,1.0,201,606,54,1.471774431407647,1.929,d4rba8sfitbs739hq1gg
28q (With_ZNE_GT),28,2,With_ZNE_GT,104.92391597139432,105.92391597139432,1.0,201,606,54,1.471774431407647,1.929,d4rba9ft3pms739822n0
28q (With_ZNE_GT),28,3,With_ZNE_GT,0.9204766184762911,0.07952338152370889,1.0,201,606,54,1.471774431407647,1.929,d4rba9rher1c73bc3u40
